EMPLOYER ID,TOTAL_ARREARS,MAX_CONSECUTIVE_MISSED,AVG_CONTRIBUTION_RATIO,MONTHS_WITH_SANCTIONS,DEFAULT_LABEL
XXXXX0010_20190102,122179.86,0,1.0,48,0
XXXXX0011_20070122,-495630.249312,0,1.0,48,0
XXXXX0011_20180102,41715.0,0,0.9930555555555555,48,1
XXXXX0025_20180103,631.53,0,1.0,48,0
XXXXX0027_20220105,2214.0,0,1.0,48,0
XXXXX0048_20201019,-1693.16,0,1.0,48,0
XXXXX0061_20150108,-11143.86,0,1.0,48,0
XXXXX0079_19991217,-525787.888368,0,1.0,48,0
XXXXX0089_20160111,115020.0,0,1.0,48,0
XXXXX0091_19980609,-723424.8,0,1.0,48,0
XXXXX0097_20080128,-41596.4,0,1.0,48,0
XXXXX0106_20070517,0.0,0,1.0,48,0
XXXXX0109_20120522,0.0,0,1.0,48,0
XXXXX0110_20160112,75558.63,0,1.0,48,0
XXXXX0112_20200109,11495.25,0,1.0,48,0
XXXXX0116_20180108,1491.1,0,1.0,48,0
XXXXX0144_19930628,15577.010000000002,0,1.0,48,0
XXXXX0150_20190110,5924.88,0,1.0,48,0
XXXXX0152_20011030,0.0,0,1.0,48,0
XXXXX0155_20210111,35441.1,0,0.9583333333333334,48,1
XXXXX0165_20201021,0.0,0,1.0,48,0
XXXXX0170_20150115,10257.77,0,1.0,48,0
XXXXX0172_20190111,202.5,0,1.0,48,0
XXXXX0176_20181016,36115.92,0,0.9791666666666666,48,1
XXXXX0180_20220112,71820.23,0,0.9791821505696011,48,1
XXXXX0183_20190926,76770.33,0,0.9583333333333334,48,1
XXXXX0188_19990825,-77713.23799999998,0,1.0,48,0
XXXXX0193_20170114,10630.45,0,1.0,48,0
XXXXX0204_20020301,-46577.655,0,1.0,48,0
XXXXX0207_19920313,-25008.72,0,1.0,48,0
XXXXX0222_20070425,-3287.5999999999995,0,1.0,0,0
XXXXX0240_20210114,22727.57,0,0.9166666666666666,48,1
XXXXX0241_20160119,91913.0,0,1.0,48,0
XXXXX0250_20210817,1362.57,0,1.0,48,0
XXXXX0256_20050714,66009.0,0,1.0,48,0
XXXXX0260_20090420,-61193.6,0,0.998971613595698,0,0
XXXXX0272_20200115,1182.55,0,1.0,48,0
XXXXX0279_19961101,-13501.933247,0,0.979423309178744,48,1
XXXXX0279_20071012,54660.060000000005,0,1.0,48,0
XXXXX0280_20190930,45341.36,0,0.9937349085975321,48,1
XXXXX0293_20080206,185517.37,0,0.751437013702884,48,1
XXXXX0293_20181018,6640.44,0,1.0,48,0
XXXXX0297_20000904,0.0,0,1.0,48,0
XXXXX0300_20220117,-1466.35,0,1.0,48,0
XXXXX0311_20191001,-110.07,0,1.0,48,0
XXXXX0312_20160122,16185.279999999999,0,1.0,48,0
XXXXX0318_20031105,23420.88,0,1.0,48,0
XXXXX0318_20170119,21033.47,0,1.0,48,0
XXXXX0323_20220117,-52.30000000000007,0,1.0,48,0
XXXXX0333_20180116,2644.17,0,1.0,48,0
XXXXX0366_20210119,326470.5,0,0.7710956339007359,48,1
XXXXX0373_19991102,435294.31,0,0.7069200598670986,48,1
XXXXX0374_20120522,48.379999999999995,0,1.0,48,0
XXXXX0379_20010212,0.0,0,1.0,0,0
XXXXX0379_20181019,2822.58,0,0.9932962981925152,48,1
XXXXX0380_20140317,-7877.889999999992,0,1.0,48,0
XXXXX0381_19961023,85734.19,0,0.9791666666666666,48,1
XXXXX0383_20170123,-3303.96,0,1.0,48,0
XXXXX0392_20181019,14526.75,0,1.0,48,0
XXXXX0401_19960430,0.0,0,1.0,48,0
XXXXX0402_20191002,767702.73,0,0.6697631728379932,48,1
XXXXX0409_20191002,2982.29,0,1.0,48,0
XXXXX0411_20200120,-823.32,0,1.0,48,0
XXXXX0415_20090923,13938.75,0,0.9998544157621333,48,0
XXXXX0416_20100105,-10158.75,0,1.0,48,0
XXXXX0416_20160127,28391.36,0,0.8923395445134575,48,1
XXXXX0417_20171115,51411.909999999996,0,0.6956530926727708,48,1
XXXXX0419_20180118,189265.75,0,0.9583333333333334,48,1
XXXXX0420_20081110,854.82,0,1.0,48,0
XXXXX0422_19941214,-29881.661701999998,0,1.0,0,0
XXXXX0422_20030120,-45266.88,0,0.9797153123795067,0,1
XXXXX0422_20060313,1066478.3652999983,0,1.0,48,0
XXXXX0442_19980330,3745.17,0,0.9931015698484642,48,0
XXXXX0454_19910918,2455.96,0,1.0,48,0
XXXXX0462_20191003,0.0,0,1.0,48,0
XXXXX0463_20060406,228308.94,0,1.0,48,0
XXXXX0463_20181022,25220.23,0,1.0,48,0
